noc2011_code,soc2010_code
6311,35-9011
6312,37-1011
6313,39-1011
6313,39-1012
6313,39-1021
6313,39-3011
6313,39-3012
6313,39-3019
6313,39-6011
6313,39-6012
6313,39-7011
6313,39-7012
6313,41-1012
6313,41-3041
6313,43-3041
6313,43-4081
6313,43-4181
6313,43-5021
6313,53-1031
6313,53-2031
6313,53-6061
6314,43-1011
6315,37-1011
6315,37-2011
6315,37-2012
6315,37-2019
6315,39-9099
6315,47-4071
6315,53-7061
6316,33-1099
6316,33-9031
6316,33-9032
6316,33-9093
6316,39-3021
6316,39-3031
6316,39-3091
6316,39-3093
6316,51-6011
6316,53-6021
6321,35-1011
6321,35-1012
6322,35-1012
6322,35-2011
6322,35-2012
6322,35-2013
6322,35-2014
6322,35-2015
6322,35-2019
6322,51-3011
6331,51-3021
6331,51-3022
6331,51-3023
6331,51-3091
6332,51-3011
6341,39-1021
6341,39-5011
6341,39-5012
6342,51-6052
6343,51-6041
6344,49-1011
6344,49-9061
6344,49-9062
6344,49-9064
6344,49-9069
6344,51-9071
6345,51-6093
6346,39-4011
6346,39-4021
6346,39-4031
6411,13-1011
6411,13-1051
6411,13-1199
6411,13-2099
6411,41-1012
6411,41-3011
6411,41-3041
6411,41-3099
6411,41-4011
6411,41-4012
6411,41-9099
6421,41-2021
6421,41-2022
6421,41-2031
6421,41-9091
6421,41-9099
6511,35-3031
6511,35-3041
6512,35-3011
6513,35-3031
6513,35-3041
6521,41-1012
6521,41-3041
6521,43-4181
6522,53-1031
6522,53-2031
6522,53-6061
6523,41-1012
6523,41-3041
6523,43-4181
6524,41-1012
6524,41-3041
6524,43-4181
6525,39-6012
6525,43-4081
6531,39-1021
6531,39-7011
6531,39-7012
6531,53-6099
6531,53-7199
6532,39-1021
6532,39-7011
6532,39-7012
6533,39-1011
6533,39-1012
6533,39-3011
6533,39-3012
6533,39-3019
6533,43-3041
6541,23-1012
6541,23-2011
6541,23-2093
6541,23-2099
6541,33-1099
6541,33-3011
6541,33-3031
6541,33-3041
6541,33-9011
6541,33-9021
6541,33-9031
6541,33-9032
6541,33-9091
6541,33-9092
6541,33-9093
6541,33-9099
6541,43-5031
6551,43-3071
6551,43-5051
6552,43-4021
6552,43-4051
6552,43-4171
6561,39-1021
6561,39-5012
6561,39-5091
6561,39-5092
6561,39-5093
6561,39-5094
6562,27-1019
6562,27-2099
6562,27-3099
6562,27-4099
6562,39-1021
6562,39-3092
6562,39-3099
6562,39-5012
6562,39-5091
6562,39-5092
6562,39-5093
6562,39-5094
6563,31-9096
6563,39-1021
6563,39-2011
6563,39-2021
6563,53-6099
6563,53-7199
6564,27-2099
6564,35-9031
6564,39-1021
6564,39-9032
6564,39-9041
6564,39-9099
6611,41-2011
6611,41-2012
6621,53-1031
6621,53-6031
6622,43-5081
6623,41-2021
6623,41-9011
6623,41-9041
6623,41-9091
6623,41-9099
6711,35-2011
6711,35-2015
6711,35-2021
6711,35-3021
6711,35-3022
6711,35-3041
6711,35-9011
6711,35-9021
6711,35-9099
6711,41-9091
6721,39-3021
6721,39-3031
6721,39-3091
6721,39-3093
6721,39-6011
6721,43-5021
6721,53-1031
6721,53-2031
6721,53-6021
6721,53-6061
6722,39-3021
6722,39-3031
6722,39-3091
6722,39-3093
6722,47-2071
6722,47-2072
6722,47-2073
6722,53-1031
6722,53-6011
6722,53-6021
6722,53-7021
6722,53-7031
6722,53-7032
