code,title,Level,Hierarchical_structure,parent,noc1d,noc2d,noc3d,noc4d
1123,"Professional occupations in advertising, marketing and public relations",4,Unit group,112,1,11,112,1123
12,Administrative and financial supervisors and administrative occupations,2,Major group,1,1,12,NA,NA
121,Administrative services supervisors,3,Minor group,12,1,12,121,NA
1211,"Supervisors, general office and administrative support workers",4,Unit group,121,1,12,121,1211
1212,"Supervisors, finance and insurance office workers",4,Unit group,121,1,12,121,1212
1213,"Supervisors, library, correspondence and related information workers",4,Unit group,121,1,12,121,1213
1214,"Supervisors, mail and message distribution occupations",4,Unit group,121,1,12,121,1214
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",4,Unit group,121,1,12,121,1215
122,Administrative and regulatory occupations,3,Minor group,12,1,12,122,NA
1221,Administrative officers,4,Unit group,122,1,12,122,1221
1222,Executive assistants,4,Unit group,122,1,12,122,1222
1223,Human resources and recruitment officers,4,Unit group,122,1,12,122,1223
1224,Property administrators,4,Unit group,122,1,12,122,1224
1225,Purchasing agents and officers,4,Unit group,122,1,12,122,1225
1226,Conference and event planners,4,Unit group,122,1,12,122,1226
1227,Court officers and justices of the peace,4,Unit group,122,1,12,122,1227
1228,"Employment insurance, immigration, border services and revenue officers",4,Unit group,122,1,12,122,1228
124,"Office administrative assistants - general, legal and medical",3,Minor group,12,1,12,124,NA
1241,Administrative assistants,4,Unit group,124,1,12,124,1241
1242,Legal administrative assistants,4,Unit group,124,1,12,124,1242
1243,Medical administrative assistants,4,Unit group,124,1,12,124,1243
125,"Court reporters, transcriptionists, records management technicians and statistical officers",3,Minor group,12,1,12,125,NA
1251,"Court reporters, medical transcriptionists and related occupations",4,Unit group,125,1,12,125,1251
1252,Health information management occupations,4,Unit group,125,1,12,125,1252
1253,Records management technicians,4,Unit group,125,1,12,125,1253
1254,Statistical officers and related research support occupations,4,Unit group,125,1,12,125,1254
13,"Finance, insurance and related business administrative occupations",2,Major group,1,1,13,NA,NA
131,"Finance, insurance and related business administrative occupations",3,Minor group,13,1,13,131,NA
1311,Accounting technicians and bookkeepers,4,Unit group,131,1,13,131,1311
1312,Insurance adjusters and claims examiners,4,Unit group,131,1,13,131,1312
1313,Insurance underwriters,4,Unit group,131,1,13,131,1313
1314,"Assessors, valuators and appraisers",4,Unit group,131,1,13,131,1314
1315,"Customs, ship and other brokers",4,Unit group,131,1,13,131,1315
14,Office support occupations,2,Major group,1,1,14,NA,NA
141,General office workers,3,Minor group,14,1,14,141,NA
1411,General office support workers,4,Unit group,141,1,14,141,1411
1414,Receptionists,4,Unit group,141,1,14,141,1414
1415,Personnel clerks,4,Unit group,141,1,14,141,1415
1416,Court clerks,4,Unit group,141,1,14,141,1416
142,Office equipment operators,3,Minor group,14,1,14,142,NA
1422,Data entry clerks,4,Unit group,142,1,14,142,1422
1423,Desktop publishing operators and related occupations,4,Unit group,142,1,14,142,1423
143,"Financial, insurance and related administrative support workers",3,Minor group,14,1,14,143,NA
1431,Accounting and related clerks,4,Unit group,143,1,14,143,1431
1432,Payroll clerks,4,Unit group,143,1,14,143,1432
1434,"Banking, insurance and other financial clerks",4,Unit group,143,1,14,143,1434
1435,Collectors,4,Unit group,143,1,14,143,1435
145,"Library, correspondence and other clerks",3,Minor group,14,1,14,145,NA
1451,Library assistants and clerks,4,Unit group,145,1,14,145,1451
1452,"Correspondence, publication and regulatory clerks",4,Unit group,145,1,14,145,1452
1454,Survey interviewers and statistical clerks,4,Unit group,145,1,14,145,1454
15,"Distribution, tracking and scheduling co-ordination occupations",2,Major group,1,1,15,NA,NA
151,Mail and message distribution occupations,3,Minor group,15,1,15,151,NA
1511,"Mail, postal and related workers",4,Unit group,151,1,15,151,1511
1512,Letter carriers,4,Unit group,151,1,15,151,1512
1513,"Couriers, messengers and door-to-door distributors",4,Unit group,151,1,15,151,1513
152,"Supply chain logistics, tracking and scheduling co-ordination occupations",3,Minor group,15,1,15,152,NA
1521,Shippers and receivers,4,Unit group,152,1,15,152,1521
1522,Storekeepers and partspersons,4,Unit group,152,1,15,152,1522
1523,Production logistics co-ordinators,4,Unit group,152,1,15,152,1523
1524,Purchasing and inventory control workers,4,Unit group,152,1,15,152,1524
1525,Dispatchers,4,Unit group,152,1,15,152,1525
1526,Transportation route and crew schedulers,4,Unit group,152,1,15,152,1526
2,Natural and applied sciences and related occupations,1,Broad occupational category,NA,2,NA,NA,NA
21,Professional occupations in natural and applied sciences,2,Major group,2,2,21,NA,NA
211,Physical science professionals,3,Minor group,21,2,21,211,NA
2111,Physicists and astronomers,4,Unit group,211,2,21,211,2111
2112,Chemists,4,Unit group,211,2,21,211,2112
