isco2008_code,isco2008_title,noc2011_code,noc2011_title,Explanatory_notes
7321,Pre-press technicians,9472,"Camera, platemaking and other prepress occupations",
7322,Printers,7303,"Supervisors, printing and related occupations","Supervisors, pressroom - printing"
7322,Printers,7381,Printing press operators,
7322,Printers,9471,Plateless printing equipment operators,
7323,Print finishing and binding workers,7303,"Supervisors, printing and related occupations","Supervisors, binding and finishing machine operators"
7323,Print finishing and binding workers,9473,Binding and finishing machine operators,
7411,Building and related electricians,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",Electrical contractors and supervisors and chief electrician (except power system electricians and power line and cable workers)
7411,Building and related electricians,7241,Electricians (except industrial and power system),
7411,Building and related electricians,7242,Industrial electricians,
7412,Electrical mechanics and fitters,2243,Industrial instrument technicians and mechanics,Industrial instrument mechanics
7412,Electrical mechanics and fitters,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",Aircraft electrical mechanics and technicians
7412,Electrical mechanics and fitters,7202,"Contractors and supervisors, electrical trades and telecommunications occupations","Contractors and supervisors, power system electricians and electrical equipment installation and repair"
7412,Electrical mechanics and fitters,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, installers, servicers and repairers - electrical appliances"
7412,Electrical mechanics and fitters,7243,Power system electricians,
7412,Electrical mechanics and fitters,7301,"Contractors and supervisors, mechanic trades","Contractors and supervisors, electrical mechanics and fitters"
7412,Electrical mechanics and fitters,7318,Elevator constructors and mechanics,
7412,Electrical mechanics and fitters,7332,Appliance servicers and repairers,
7412,Electrical mechanics and fitters,7333,Electrical mechanics,
7412,Electrical mechanics and fitters,7441,Residential and commercial installers and servicers,Residential and commercial installers and servicers - electrical appliances
7412,Electrical mechanics and fitters,7445,Other repairers and servicers,Other repairers and servicers -electric appliances
7413,Electrical line installers and repairers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations","Contractors and supervisors, electrical power line and cable workers"
7413,Electrical line installers and repairers,7244,Electrical power line and cable workers,
7421,Electronics mechanics and servicers,2242,Electronic service technicians (household and business equipment),Except electronic service technicians - information and communications technology
7421,Electronics mechanics and servicers,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Aircraft instrument and avionics mechanics, technicians and inspectors"
7422,Information and communications technology installers and servicers,2242,Electronic service technicians (household and business equipment),Electronic service technicians - information and communications technology
7422,Information and communications technology installers and servicers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations","Contractors and supervisors, cable and line installation and repair workers - telecommunications"
7422,Information and communications technology installers and servicers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, residential and commercial installers and servicers - communication equipment"
7422,Information and communications technology installers and servicers,7245,Telecommunications line and cable workers,
7422,Information and communications technology installers and servicers,7246,Telecommunications installation and repair workers,
7422,Information and communications technology installers and servicers,7247,Cable television service and maintenance technicians,
7422,Information and communications technology installers and servicers,7441,Residential and commercial installers and servicers,Residential and commercial installers and servicers - communication equipment
7511,"Butchers, fishmongers and related food preparers",6331,"Butchers, meat cutters and fishmongers - retail and wholesale",
7511,"Butchers, fishmongers and related food preparers",9461,"Process control and machine operators, food, beverage and associated products processing",Meat salters
7511,"Butchers, fishmongers and related food preparers",9462,"Industrial butchers and meat cutters, poultry preparers and related workers",
7511,"Butchers, fishmongers and related food preparers",9463,Fish and seafood plant workers,Fish cutters and fish smokers - fish processing
7512,"Bakers, pastry-cooks and confectionery makers",6322,Cooks,Pastry cooks
7512,"Bakers, pastry-cooks and confectionery makers",6332,Bakers,
7513,Dairy-products makers,9461,"Process control and machine operators, food, beverage and associated products processing",Dairy products preparers and makers (except machine operators)
7514,"Fruit, vegetable and related preservers",9461,"Process control and machine operators, food, beverage and associated products processing",Fruit and vegeteble preservers (except machine operators)
7515,Food and beverage tasters and graders,9465,"Testers and graders, food, beverage and associated products processing","Inspectors, graders and testers - food and beverage processing (except tobacco products)"
7516,Tobacco preparers and tobacco products makers,9461,"Process control and machine operators, food, beverage and associated products processing",Tobacco preparers and tobacco products makers (except machine operators)
7516,Tobacco preparers and tobacco products makers,9465,"Testers and graders, food, beverage and associated products processing",Tobacco graders and samplers
7521,Wood treaters,9434,Other wood processing machine operators,Except plywood press operators and veneer cutters
7522,Cabinet-makers and related workers,7204,"Contractors and supervisors, carpentry trades","Foremen/women, cabinetmakers"
7522,Cabinet-makers and related workers,7272,Cabinetmakers,
7523,Woodworking-machine tool setters and operators,9437,Woodworking machine operators,
7531,"Tailors, dressmakers, furriers and hatters",6342,"Tailors, dressmakers, furriers and milliners",
7531,"Tailors, dressmakers, furriers and hatters",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",Fur graders - manufacturing
7532,Garment and related pattern-makers and cutters,5245,"Patternmakers - textile, leather and fur products",
7532,Garment and related pattern-makers and cutters,9445,"Fabric, fur and leather cutters","Except cutters, shoe parts - footwear manufacturing"
7533,"Sewing, embroidery and related workers",5244,Artisans and craftspersons,Hand embroiderers
7533,"Sewing, embroidery and related workers",9446,Industrial sewing machine operators,Sewers and menders - garment manufacturing
7533,"Sewing, embroidery and related workers",9537,"Other products assemblers, finishers and inspectors",Umbrella makers
7534,Upholsterers and related workers,6345,Upholsterers,
7534,Upholsterers and related workers,9532,Furniture and fixture assemblers and inspectors,Mattress makers
7535,"Pelt dressers, tanners and fellmongers",9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Hide and pelt processing workers (except graders and machine operators)
7535,"Pelt dressers, tanners and fellmongers",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",Pelt and hide graders
7536,Shoemakers and related workers,6343,Shoe repairers and shoemakers,
7541,Underwater divers,7384,"Other trades and related occupations, n.e.c.",Underwater divers
7542,Shotfirers and blasters,7302,"Contractors and supervisors, heavy equipment operator crews","Foremen/women, blasters - construction"
7542,Shotfirers and blasters,7372,"Drillers and blasters - surface mining, quarrying and construction","Blasters and powdermen/women - surface mining, quarrying and construction"
7542,Shotfirers and blasters,8231,Underground production and development miners,Blasters and powdermen/women - underground mining
7543,Product graders and testers (excluding foods and beverages),7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Foremen/women, machine shop inspectors"
7543,Product graders and testers (excluding foods and beverages),7231,Machinists and machining and tooling inspectors,Machining and tooling inspectors
7543,Product graders and testers (excluding foods and beverages),9415,"Inspectors and testers, mineral and metal processing",
7543,Product graders and testers (excluding foods and beverages),9418,Other metal products machine operators,"Inspectors, graders and testers - other metal products"
7543,Product graders and testers (excluding foods and beverages),9421,Chemical plant machine operators,"Inspectors, graders and testers - chemical processing"
7543,Product graders and testers (excluding foods and beverages),9423,Rubber processing machine operators and related workers,"Inspectors, graders and testers - rubber products"
7543,Product graders and testers (excluding foods and beverages),9432,Pulp mill machine operators,"Inspectors, graders and testers - pulp"
7543,Product graders and testers (excluding foods and beverages),9433,Papermaking and finishing machine operators,"Inspectors, graders and testers - paper"
7543,Product graders and testers (excluding foods and beverages),9436,Lumber graders and other wood processing inspectors and graders,
7543,Product graders and testers (excluding foods and beverages),9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing","Inspectors, graders and testers - textile and fabric manufacturing"
7543,Product graders and testers (excluding foods and beverages),9521,Aircraft assemblers and aircraft assembly inspectors,Aircraft assembly inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9522,"Motor vehicle assemblers, inspectors and testers",Motor vehicle inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9523,"Electronics assemblers, fabricators, inspectors and testers",Electronics inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","Inspectors and testers - electrical appliance, apparatus and equipment manufacturing"
7543,Product graders and testers (excluding foods and beverages),9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",Inspectors and testers -industrial electrical motors and transformers
7543,Product graders and testers (excluding foods and beverages),9526,Mechanical assemblers and inspectors,Mechanical inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9527,"Machine operators and inspectors, electrical apparatus manufacturing",Inspectors and testers - electrical apparatus manufacturing
7543,Product graders and testers (excluding foods and beverages),9531,Boat assemblers and inspectors,Boat inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9532,Furniture and fixture assemblers and inspectors,"Inspectors, graders and testers - furniture and fixture"
7543,Product graders and testers (excluding foods and beverages),9533,Other wood products assemblers and inspectors,Other wood products inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9535,"Plastic products assemblers, finishers and inspectors",Plastic products inspectors and testers
7543,Product graders and testers (excluding foods and beverages),9537,"Other products assemblers, finishers and inspectors",Other products inspectors and testers
7544,Fumigators and other pest and weed controllers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, pest control and fumigation"
7544,Fumigators and other pest and weed controllers,7444,Pest controllers and fumigators,
7544,Fumigators and other pest and weed controllers,8612,Landscaping and grounds maintenance labourers,Chemical applicators - lawn and tree care
7549,Craft and related workers not elsewhere classified,3414,Other assisting occupations in support of health services,Optical lens grinders and polishers
7549,Craft and related workers not elsewhere classified,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors, other repairers, installers and servicers, n.e.c."
7549,Craft and related workers not elsewhere classified,7384,"Other trades and related occupations, n.e.c.","Trades and related occupations, n.e.c."
7549,Craft and related workers not elsewhere classified,7441,Residential and commercial installers and servicers,"Residential and commercial installers and servicers, n.e.c."
7549,Craft and related workers not elsewhere classified,7445,Other repairers and servicers,"Other repairers and servicers, n.e.c."
7549,Craft and related workers not elsewhere classified,9537,"Other products assemblers, finishers and inspectors",Optical lens grinders and polishers - non-prescription
8111,Miners and quarriers,7372,"Drillers and blasters - surface mining, quarrying and construction","Drillers - surface mining, quarrying and construction"
8111,Miners and quarriers,8231,Underground production and development miners,Except blasters and drillers - underground mining
8112,Mineral and stone processing plant operators,9411,"Machine operators, mineral and metal processing","Machine operators, mineral and stone processing"
8112,Mineral and stone processing plant operators,9414,"Concrete, clay and stone forming operators",Machine operators - stone processing
8113,Well drillers and borers and related workers,7302,"Contractors and supervisors, heavy equipment operator crews",Well drilling foremen/women
8113,Well drillers and borers and related workers,7373,Water well drillers,
8113,Well drillers and borers and related workers,8231,Underground production and development miners,Drillers - underground mining
8113,Well drillers and borers and related workers,8232,"Oil and gas well drillers, servicers, testers and related workers",
8113,Well drillers and borers and related workers,8412,Oil and gas well drilling and related workers and services operators,
8114,"Cement, stone and other mineral products machine operators",9414,"Concrete, clay and stone forming operators",Forming and finishing machine operators -concrete and stone casting
8121,Metal processing plant operators,9411,"Machine operators, mineral and metal processing","Machine operators, metal processing"
8122,"Metal finishing, plating and coating machine operators",9536,"Industrial painters, coaters and metal finishing process operators","Plating, metal spraying and related operators"
8131,Chemical products plant and machine operators,9421,Chemical plant machine operators,Except packaging machine operators
8132,Photographic products machine operators,7303,"Supervisors, printing and related occupations","Supervisors, photographic and film processors"
8132,Photographic products machine operators,9474,Photographic and film processors,
8141,Rubber products machine operators,9423,Rubber processing machine operators and related workers,"Except inspectors, graders and testers"
8142,Plastic products machine operators,9422,Plastics processing machine operators,
8143,Paper products machine operators,9435,Paper converting machine operators,
8151,"Fibre preparing, spinning and winding machine operators",9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers","Fibre preparing, spinning and winding machine operators"
8152,Weaving and knitting machine operators,9442,"Weavers, knitters and other fabric making occupations",Weaving and knitting machine operators
8153,Sewing machine operators,9446,Industrial sewing machine operators,Except sewers and menders - garment and shoe manufacturing
8154,"Bleaching, dyeing and fabric cleaning machine operators",9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers","Bleaching, dyeing and fabric cleaning machine operators"
8155,Fur and leather preparing machine operators,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Fur and leather preparing machine operators
8156,Shoemaking and related machine operators,9445,"Fabric, fur and leather cutters","Cutters, shoe parts - footwear manufacturing"
8156,Shoemaking and related machine operators,9446,Industrial sewing machine operators,Shoe sewers
8156,Shoemaking and related machine operators,9537,"Other products assemblers, finishers and inspectors",Machine operators - footwear
8157,Laundry machine operators,6316,Other services supervisors,Production supervisors - laundry and dry cleaning
8157,Laundry machine operators,6741,"Dry cleaning, laundry and related occupations","Dry-cleaning, laundry and related machine operators"
8159,"Textile, fur and leather products machine operators not elsewhere classified",9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers","Folding and measuring machine tenders and printing machine operators - textile fibre and yarn, hide and pelt processing"
8159,"Textile, fur and leather products machine operators not elsewhere classified",9442,"Weavers, knitters and other fabric making occupations",Braid makers and pattern punchers - textiles
8159,"Textile, fur and leather products machine operators not elsewhere classified",9537,"Other products assemblers, finishers and inspectors",Hatmaking machine operators and folding machine operators - garment manufacturing
8160,Food and related products machine operators,9461,"Process control and machine operators, food, beverage and associated products processing","Machine operators - food, beverage and tobacco processing"
8160,Food and related products machine operators,9463,Fish and seafood plant workers,Machine operators - fish processing
8171,Pulp and papermaking plant operators,9432,Pulp mill machine operators,"Except inspectors, graders and testers"
8171,Pulp and papermaking plant operators,9433,Papermaking and finishing machine operators,"Except inspectors, graders and testers"
8172,Wood processing plant operators,9431,Sawmill machine operators,
8172,Wood processing plant operators,9434,Other wood processing machine operators,Plywood press operators and veneer cutters
8181,Glass and ceramics plant operators,9413,Glass forming and finishing machine operators and glass cutters,"Except glass blowers, cutters, grinders and finishers, hand - manufacturing"
8181,Glass and ceramics plant operators,9414,"Concrete, clay and stone forming operators","Kiln and forming and finishing machine operators - brick, tile, clay, pottery and porcelain"
8182,Steam engine and boiler operators,7532,Water transport deck and engine room crew,Ship stokers and ship boiler tenders
8182,Steam engine and boiler operators,9241,Power engineers and power systems operators,"Stationary engineers, steam plant and boiler operators"
8183,"Packing, bottling and labelling machine operators",9421,Chemical plant machine operators,Packaging machine operators - chemical processing
8183,"Packing, bottling and labelling machine operators",9461,"Process control and machine operators, food, beverage and associated products processing","Packing and bottling machine operators - food, beverage and associated products processing"
8183,"Packing, bottling and labelling machine operators",9619,"Other labourers in processing, manufacturing and utilities","Wrapping, packing and labelling machine tenders"
8189,Stationary plant and machine operators not elsewhere classified,9418,Other metal products machine operators,Wire rope sling and cable splicers
8189,Stationary plant and machine operators not elsewhere classified,9523,"Electronics assemblers, fabricators, inspectors and testers",Silicon wafer fabricators
8211,Mechanical machinery assemblers,9521,Aircraft assemblers and aircraft assembly inspectors,Aircraft assemblers
8211,Mechanical machinery assemblers,9522,"Motor vehicle assemblers, inspectors and testers",Motor vehicle assemblers
8211,Mechanical machinery assemblers,9526,Mechanical assemblers and inspectors,Mechanical assemblers
8212,Electrical and electronic equipment assemblers,9523,"Electronics assemblers, fabricators, inspectors and testers",Electronics assemblers and fabricators
8212,Electrical and electronic equipment assemblers,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","Assemblers electrical appliance, apparatus and equipment manufacturing"
8212,Electrical and electronic equipment assemblers,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers","Assemblers and fabricators, industrial electrical motors and transformers"
8212,Electrical and electronic equipment assemblers,9527,"Machine operators and inspectors, electrical apparatus manufacturing","Machine operators, electrical apparatus manufacturing"
8219,Assemblers not elsewhere classified,7441,Residential and commercial installers and servicers,Curtain and furniture installers
8219,Assemblers not elsewhere classified,9531,Boat assemblers and inspectors,Boat assemblers
8219,Assemblers not elsewhere classified,9532,Furniture and fixture assemblers and inspectors,Furniture and fixture assemblers
8219,Assemblers not elsewhere classified,9533,Other wood products assemblers and inspectors,Other wood products assemblers
8219,Assemblers not elsewhere classified,9535,"Plastic products assemblers, finishers and inspectors",Plastic products assemblers and finishers
8219,Assemblers not elsewhere classified,9537,"Other products assemblers, finishers and inspectors","Other products assemblers and finishers, n.e.c."
8311,Locomotive engine drivers,7304,"Supervisors, railway transport operations",Except stationmasters and yardmasters
8311,Locomotive engine drivers,7361,Railway and yard locomotive engineers,Railway locomotive engineers (except yard and switch engineers)
8312,"Railway brake, signal and switch operators",7302,"Contractors and supervisors, heavy equipment operator crews",Railwaymen/women foremen/women
8312,"Railway brake, signal and switch operators",7361,Railway and yard locomotive engineers,Yard and switch engineers
8312,"Railway brake, signal and switch operators",7362,Railway conductors and brakemen/women,Brakemen/women
8312,"Railway brake, signal and switch operators",7531,Railway yard and track maintenance workers,Except locomotive servicers
8321,Motorcycle drivers,9999,Not in NOC,
8322,"Car, taxi and van drivers",6742,"Other service support occupations, n.e.c.",Motor vehicle jockeys
8322,"Car, taxi and van drivers",7513,Taxi and limousine drivers and chauffeurs,
8322,"Car, taxi and van drivers",7514,Delivery and courier service drivers,Except vending machine driver-suppliers
8331,Bus and tram drivers,7305,"Supervisors, motor transport and other ground transit operators",Except dispatchers
8331,Bus and tram drivers,7512,"Bus drivers, subway operators and other transit operators",
8332,Heavy truck and lorry drivers,7511,Transport truck drivers,
8332,Heavy truck and lorry drivers,7522,Public works maintenance equipment operators and related workers,"Garbage, recycling, sprinkling and salt truck drivers"
8332,Heavy truck and lorry drivers,7534,Air transport ramp attendants,Aircraft refuelers
8341,Mobile farm and forestry plant operators,8241,Logging machinery operators,
8341,Mobile farm and forestry plant operators,8421,Chain saw and skidder operators,Logging tractor operators
8341,Mobile farm and forestry plant operators,8431,General farm workers,Farm equipment operators
8342,Earthmoving and related plant operators,6722,"Operators and attendants in amusement, recreation and sport",Zamboni drivers
8342,Earthmoving and related plant operators,7302,"Contractors and supervisors, heavy equipment operator crews",Heavy construction crew foremen/women
8342,Earthmoving and related plant operators,7521,Heavy equipment operators (except crane),
8342,Earthmoving and related plant operators,7522,Public works maintenance equipment operators and related workers,"Except garbage, recycling, sprinkling and salt truck drivers"
8343,"Crane, hoist and related plant operators",6722,"Operators and attendants in amusement, recreation and sport","Cable car, ski lift and amusement ride operators"
8343,"Crane, hoist and related plant operators",7302,"Contractors and supervisors, heavy equipment operator crews",Crane crew foremen/women
8343,"Crane, hoist and related plant operators",7371,Crane operators,Except riggers
8344,Lifting truck operators,7452,Material handlers,Lift truck operators
8350,Ships' deck crews and related workers,7532,Water transport deck and engine room crew,Except ship stokers and boiler tenders
8350,Ships' deck crews and related workers,7533,Boat and cable ferry operators and related occupations,
9111,Domestic cleaners and helpers,6731,Light duty cleaners,House cleaners
9112,"Cleaners and helpers in offices, hotels and other establishments",6315,Cleaning supervisors,"Supervisors, bus, railway car and related vehicle cleaners"
9112,"Cleaners and helpers in offices, hotels and other establishments",6731,Light duty cleaners,Except sweepers and housecleaners
9112,"Cleaners and helpers in offices, hotels and other establishments",6732,Specialized cleaners,"Bus, railway car and related vehicle cleaners"
9112,"Cleaners and helpers in offices, hotels and other establishments",7534,Air transport ramp attendants,Aircraft cleaners
9121,Hand launderers and pressers,6741,"Dry cleaning, laundry and related occupations","Hand washers, hand pressers and hand finishers - laundry and dry cleaning"
9122,Vehicle cleaners,6315,Cleaning supervisors,"Supervisors, vehicle cleaners"
9122,Vehicle cleaners,6732,Specialized cleaners,Car washers
9123,Window cleaners,6315,Cleaning supervisors,"Supervisors, window cleaners"
9123,Window cleaners,6732,Specialized cleaners,Window cleaners
9129,Other cleaning workers,6315,Cleaning supervisors,"Supervisors, specialized cleaners (except vehicle and window cleaners)"
9129,Other cleaning workers,6732,Specialized cleaners,"Except window, vehicle and building structure cleaners"
9211,Crop farm labourers,8431,General farm workers,General farm workers - field crops and vegetables
9211,Crop farm labourers,8611,Harvesting labourers,
9212,Livestock farm labourers,8431,General farm workers,"General farm workers - livestock, poultry, dairy and bee farms"
9213,Mixed crop and livestock farm labourers,8431,General farm workers,General farm workers - mixed crop and animal farms
9214,Garden and horticultural labourers,8432,Nursery and greenhouse workers,
9214,Garden and horticultural labourers,8612,Landscaping and grounds maintenance labourers,Except chemical applicators
9215,Forestry labourers,8616,Logging and forestry labourers,
9216,Fishery and aquaculture labourers,8441,Fishing vessel deckhands,Except trawlermen/women
9216,Fishery and aquaculture labourers,8613,Aquaculture and marine harvest labourers,
9311,Mining and quarrying labourers,7611,Construction trades helpers and labourers,Quarry labourers
9311,Mining and quarrying labourers,8411,Underground mine service and support workers,
9311,Mining and quarrying labourers,8614,Mine labourers,
9311,Mining and quarrying labourers,8615,"Oil and gas drilling, servicing and related labourers",
9312,Civil engineering labourers,7611,Construction trades helpers and labourers,Construction labourers (except building construction)
9312,Civil engineering labourers,7621,Public works and maintenance labourers,Road and sewer maintenance workers - public works
9313,Building construction labourers,7611,Construction trades helpers and labourers,Building construction labourers
9321,Hand packers,7452,Material handlers,Hand packers - manufacturing
9321,Hand packers,9617,"Labourers in food, beverage and associated products processing",Hand packers - beverage and associated products processing
9329,Manufacturing labourers not elsewhere classified,7452,Material handlers,Material handlers in manufacturing (except hand packers)
9329,Manufacturing labourers not elsewhere classified,9611,Labourers in mineral and metal processing,
9329,Manufacturing labourers not elsewhere classified,9612,Labourers in metal fabrication,"Except grinders, sharpeners and polishers - metal products manufacturing"
9329,Manufacturing labourers not elsewhere classified,9613,Labourers in chemical products processing and utilities,
9329,Manufacturing labourers not elsewhere classified,9614,"Labourers in wood, pulp and paper processing",
9329,Manufacturing labourers not elsewhere classified,9615,Labourers in rubber and plastic products manufacturing,
9329,Manufacturing labourers not elsewhere classified,9616,Labourers in textile processing,
9329,Manufacturing labourers not elsewhere classified,9617,"Labourers in food, beverage and associated products processing",Except hand packers
9329,Manufacturing labourers not elsewhere classified,9618,Labourers in fish and seafood processing,
9329,Manufacturing labourers not elsewhere classified,9619,"Other labourers in processing, manufacturing and utilities","Other labourers in processing, manufacturing and utilities, n.e.c."
9331,Hand and pedal vehicle drivers,6742,"Other service support occupations, n.e.c.",Hand and pedal vehicle drivers
9332,Drivers of animal-drawn vehicles and machinery,6531,Tour and travel guides,"Tour guides who drive animal-drawn vehicles, for example calèche drivers"
9332,Drivers of animal-drawn vehicles and machinery,6563,Pet groomers and animal care workers,Drivers of animal-drawn vehicles and machinery
9333,Freight handlers,7302,"Contractors and supervisors, heavy equipment operator crews","Longshoremen/women, stevedores and freight handlers foremen/women"
9333,Freight handlers,7451,Longshore workers,
9333,Freight handlers,7452,Material handlers,Except material handlers in manufacturing
9333,Freight handlers,7534,Air transport ramp attendants,Except aircraft refuelers and cleaners
9334,Shelf fillers,6622,"Store shelf stockers, clerks and order fillers",
9411,Fast food preparers,6311,Food service supervisors,"Food assembly supervisors and shift managers, fast food restaurant"
9411,Fast food preparers,6322,Cooks,Short order cooks
9411,Fast food preparers,6711,"Food counter attendants, kitchen helpers and related support occupations","Except street food salespersons, food service counter attendants and kitchen helpers"
9412,Kitchen helpers,6711,"Food counter attendants, kitchen helpers and related support occupations",Kitchen helpers
9510,Street and related service workers,6742,"Other service support occupations, n.e.c.",Street and related service workers
9520,Street vendors (excluding food),6623,Other sales related occupations,Street vendors
9611,Garbage and recycling collectors,7621,Public works and maintenance labourers,Garbage and recycling truck loaders
9612,Refuse sorters,9619,"Other labourers in processing, manufacturing and utilities",Recyclable materials sorters
9613,Sweepers and related labourers,6731,Light duty cleaners,Floor sweepers and airport cleaners
9613,Sweepers and related labourers,7621,Public works and maintenance labourers,Street and park sweepers
9621,"Messengers, package deliverers and luggage porters",1513,"Couriers, messengers and door-to-door distributors",
9621,"Messengers, package deliverers and luggage porters",6313,"Accommodation, travel, tourism and related services supervisors",Baggage porter supervisors
9621,"Messengers, package deliverers and luggage porters",6721,"Support occupations in accommodation, travel and facilities set-up services",Baggage porters
9622,Odd job persons,6733,"Janitors, caretakers and building superintendents",Handymen/women
9623,Meter readers and vending-machine collectors,1213,"Supervisors, library, correspondence and related information workers","Supervisors, meter readers"
9623,Meter readers and vending-machine collectors,1454,Survey interviewers and statistical clerks,Meter readers
9623,Meter readers and vending-machine collectors,7514,Delivery and courier service drivers,Vending machine driver-suppliers
9623,Meter readers and vending-machine collectors,7621,Public works and maintenance labourers,Parking meter collectors
9624,Water and firewood collectors,9999,Not in NOC,
9629,Elementary workers not elsewhere classified,6316,Other services supervisors,"Other services supervisors, n.c.a."
9629,Elementary workers not elsewhere classified,6721,"Support occupations in accommodation, travel and facilities set-up services",Hotel doorkeepers and facilities porters
9629,Elementary workers not elsewhere classified,6722,"Operators and attendants in amusement, recreation and sport","Attendants in amusement, recreation and sport"
9629,Elementary workers not elsewhere classified,6742,"Other service support occupations, n.e.c.","Except butlers, valets, motor vehicle jockeys, hand and pedal vehicle drivers and street service workers"
9629,Elementary workers not elsewhere classified,7612,Other trades helpers and labourers,
9629,Elementary workers not elsewhere classified,7622,Railway and motor transport labourers,
