noc2016_code,soc2010_code
7334,49-3052
7334,49-3053
7335,49-3053
7361,53-4011
7361,53-4013
7362,53-4012
7362,53-4021
7362,53-4031
7371,49-9096
7371,53-7021
7371,53-7041
7372,47-5021
7372,47-5031
7373,47-5021
7381,51-5112
7384,49-3092
7384,49-9092
7384,49-9093
7384,49-9094
7384,49-9099
7384,51-7031
7384,51-7032
7441,47-2043
7441,47-2231
7441,47-4031
7441,47-4091
7441,47-4099
7441,49-9011
7441,49-9093
7441,49-9095
7441,49-9099
7442,49-9012
7442,49-9093
7442,49-9099
7444,37-2021
7445,49-3091
7445,49-9012
7445,49-9061
7445,49-9063
7445,49-9069
7445,49-9091
7445,49-9093
7445,49-9099
7451,53-7121
7452,53-7011
7452,53-7032
7452,53-7051
7452,53-7062
7452,53-7121
7452,53-7199
7511,53-3032
7512,53-3021
7512,53-3022
7512,53-3041
7512,53-4041
7513,53-3022
7513,53-3041
7514,53-3031
7514,53-3033
7521,47-2071
7521,47-2072
7521,47-2073
7521,53-7031
7521,53-7032
7522,37-3013
7522,47-4051
7522,47-4071
7522,53-3099
7522,53-7081
7531,47-4061
7531,53-4012
7531,53-4021
7531,53-4099
7532,53-5011
7533,53-5021
7533,53-5022
7533,53-6011
7534,53-6099
7534,53-7061
7535,49-3093
7535,49-9043
7535,49-9098
7611,33-9091
7611,47-2061
7611,47-2151
7611,47-3011
7611,47-3012
7611,47-3013
7611,47-3014
7611,47-3015
7611,47-3016
7611,47-3019
7611,47-4041
7611,47-4099
7611,47-5051
7612,47-3013
7612,49-9043
7612,49-9098
7621,47-2141
7621,47-4051
7621,53-7081
7622,53-4099
7622,53-7062
8211,45-1011
8221,47-1011
8222,47-1011
8231,47-5041
8231,47-5042
8231,47-5049
8231,47-5061
8231,53-7033
8231,53-7111
8232,47-5012
8232,47-5013
8241,45-4022
8252,39-2011
8252,45-1011
8252,45-2091
8252,45-2092
8252,45-2093
8252,53-2012
8255,37-1012
8261,45-3011
8261,45-3021
8262,45-3011
8262,45-3021
8411,47-5042
8411,47-5049
8411,53-7033
8411,53-7111
8412,47-5011
8412,47-5013
8412,53-7073
8421,45-4021
8421,45-4022
8422,45-4011
8431,39-2011
8431,45-2041
8431,45-2091
8431,45-2092
8431,45-2093
8431,45-2099
8432,37-3012
8432,45-2092
8441,45-3011
8441,45-3021
8442,45-3011
8442,45-3021
8611,45-2041
8611,45-2092
8612,37-3011
