soc2010,soc2010_title,noc2011,noc2011_title
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1121,Human resources professionals
13-1151,Training and Development Specialists,1121,Human resources professionals
13-1161,Market Research Analysts and Marketing Specialists,1123,"Professional occupations in advertising, marketing and public relations"
13-1161,Market Research Analysts and Marketing Specialists,4163,Business development officers and marketing researchers and consultants
13-1199,"Business Operations Specialists, All Other",0213,Computer and information systems managers
13-1199,"Business Operations Specialists, All Other",0711,Construction managers
13-1199,"Business Operations Specialists, All Other",1315,"Customs, ship and other brokers"
13-1199,"Business Operations Specialists, All Other",4161,"Natural and applied science policy researchers, consultants and program officers"
13-1199,"Business Operations Specialists, All Other",5131,"Producers, directors, choreographers and related occupations"
13-1199,"Business Operations Specialists, All Other",5242,Interior designers and interior decorators
13-1199,"Business Operations Specialists, All Other",6522,Pursers and flight attendants
13-1199,"Business Operations Specialists, All Other",6541,Security guards and related security service occupations
13-2011,Accountants and Auditors,1111,Financial auditors and accountants
13-2021,Appraisers and Assessors of Real Estate,1314,"Assessors, valuators and appraisers"
13-2031,Budget Analysts,1221,Administrative officers
13-2041,Credit Analysts,6235,Financial sales representatives
13-2051,Financial Analysts,1112,Financial and investment analysts
13-2052,Personal Financial Advisors,1114,Other financial officers
13-2053,Insurance Underwriters,1313,Insurance underwriters
13-2061,Financial Examiners,1114,Other financial officers
13-2071,Credit Counselors,6235,Financial sales representatives
13-2072,Loan Officers,1114,Other financial officers
13-2072,Loan Officers,6235,Financial sales representatives
13-2081,"Tax Examiners and Collectors, and Revenue Agents",1228,"Employment insurance, immigration, border services and revenue officers"
13-2082,Tax Preparers,1431,Accounting and related clerks
13-2099,"Financial Specialists, All Other",1112,Financial and investment analysts
13-2099,"Financial Specialists, All Other",1114,Other financial officers
15-1111,Computer and Information Research Scientists,2173,Software engineers and designers
15-1121,Computer Systems Analysts,2171,Information systems analysts and consultants
15-1122,Information Security Analysts,2171,Information systems analysts and consultants
15-1131,Computer Programmers,2174,Computer programmers and interactive media developers
15-1132,"Software Developers, Applications",2171,Information systems analysts and consultants
15-1132,"Software Developers, Applications",2173,Software engineers and designers
15-1132,"Software Developers, Applications",2174,Computer programmers and interactive media developers
15-1132,"Software Developers, Applications",2283,Information systems testing technicians
15-1133,"Software Developers, Systems Software",2171,Information systems analysts and consultants
15-1133,"Software Developers, Systems Software",2173,Software engineers and designers
15-1133,"Software Developers, Systems Software",2174,Computer programmers and interactive media developers
15-1133,"Software Developers, Systems Software",2283,Information systems testing technicians
15-1134,Web Developers,2175,Web designers and developers
15-1141,Database Administrators,2172,Database analysts and data administrators
15-1142,Network and Computer Systems Administrators,2281,Computer network technicians
15-1143,Computer Network Architects,2147,Computer engineers (except software engineers and designers)
15-1151,Computer User Support Specialists,2282,User support technicians
15-1152,Computer Network Support Specialists,2281,Computer network technicians
15-1199,"Computer Occupations, All Other",0213,Computer and information systems managers
15-1199,"Computer Occupations, All Other",0711,Construction managers
15-1199,"Computer Occupations, All Other",2171,Information systems analysts and consultants
15-1199,"Computer Occupations, All Other",2172,Database analysts and data administrators
15-1199,"Computer Occupations, All Other",2175,Web designers and developers
15-1199,"Computer Occupations, All Other",2281,Computer network technicians
15-1199,"Computer Occupations, All Other",2283,Information systems testing technicians
15-1199,"Computer Occupations, All Other",5131,"Producers, directors, choreographers and related occupations"
15-1199,"Computer Occupations, All Other",5242,Interior designers and interior decorators
15-2011,Actuaries,2161,"Mathematicians, statisticians and actuaries"
