noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
1311,Accounting technicians and bookkeepers,3313,Accounting associate professionals,
1312,Insurance adjusters and claims examiners,3315,Valuers and loss assessors,Insurance adjusters and claims examiners
1313,Insurance underwriters,3321,Insurance representatives,Insurance underwriters
1314,"Assessors, valuators and appraisers",3315,Valuers and loss assessors,"Assessors, valuators and appraisers"
1315,"Customs, ship and other brokers",3324,Trade brokers,Ship brokers and other brokers (except customs brokers)
1315,"Customs, ship and other brokers",3331,Clearing and forwarding agents,Customs brokers
1411,General office support workers,3252,Medical records and health information technicians,Medical records clerks and health information clerks
1411,General office support workers,4110,General office clerks,
1411,General office support workers,4131,Typists and word processing operators,Word processor clerks and typists
1411,General office support workers,4414,Scribes and related workers,
1411,General office support workers,4415,Filing and copying clerks,Except records management technicians
1414,Receptionists,4223,Telephone switchboard operators,
1414,Receptionists,4226,Receptionists (general),
1414,Receptionists,4229,Client information workers not elsewhere classified,
1415,Personnel clerks,4416,Personnel clerks,
1416,Court clerks,3411,Legal and related associate professionals,Court clerks
1422,Data entry clerks,4132,Data entry clerks,
1423,Desktop publishing operators and related occupations,7321,Pre-press technicians,Desktop publishing operators and related occupations
1431,Accounting and related clerks,4311,Accounting and bookkeeping clerks,
1431,Accounting and related clerks,4312,"Statistical, finance and insurance clerks",Tax clerks and finance clerks
1432,Payroll clerks,4313,Payroll clerks,
1434,"Banking, insurance and other financial clerks",4312,"Statistical, finance and insurance clerks","Banking, insurance and other financial clerks"
1435,Collectors,4214,Debt-collectors and related workers,
1451,Library assistants and clerks,4411,Library clerks,
1452,"Correspondence, publication and regulatory clerks",3354,Government licensing officials,Except supervisors and driver's licence examiners
1452,"Correspondence, publication and regulatory clerks",4413,"Coding, proof-reading and related clerks",Proofreaders
1452,"Correspondence, publication and regulatory clerks",4419,Clerical support workers not elsewhere classified,
1454,Survey interviewers and statistical clerks,4227,Survey and market research interviewers,
1454,Survey interviewers and statistical clerks,4312,"Statistical, finance and insurance clerks",Statistical clerks
1454,Survey interviewers and statistical clerks,4413,"Coding, proof-reading and related clerks",Coding clerks - statistics
1454,Survey interviewers and statistical clerks,9623,Meter readers and vending-machine collectors,Meter readers
1511,"Mail, postal and related workers",4211,Bank tellers and related clerks,Postal counter clerks
1511,"Mail, postal and related workers",4412,Mail carriers and sorting clerks,"Mail, postal and related workers (except postal counter clerks)"
1512,Letter carriers,4412,Mail carriers and sorting clerks,Letter carriers
1513,"Couriers, messengers and door-to-door distributors",9621,"Messengers, package deliverers and luggage porters","Couriers, messengers and door-to-door distributors"
1521,Shippers and receivers,3331,Clearing and forwarding agents,Shipping agents and freight shippers-receivers
1521,Shippers and receivers,4321,Stock clerks,Shipping and receiving clerks
1522,Storekeepers and partspersons,4321,Stock clerks,Storekeepers and partspersons
1523,Production logistics co-ordinators,4322,Production clerks,
1524,Purchasing and inventory control workers,4321,Stock clerks,Purchasing and inventory control workers
1525,Dispatchers,4323,Transport clerks,Dispatchers
1526,Transportation route and crew schedulers,4323,Transport clerks,Transportation route and crew schedulers
2111,Physicists and astronomers,2111,Physicists and astronomers,Except ballisticians and astronauts
2112,Chemists,2113,Chemists,
2113,Geoscientists and oceanographers,2114,Geologists and geophysicists,
2114,Meteorologists and climatologists,2112,Meteorologists,
2115,Other professional occupations in physical sciences,2111,Physicists and astronomers,Ballisticians and astronauts
2115,Other professional occupations in physical sciences,2132,"Farming, forestry and fisheries advisers",Soil scientists
2115,Other professional occupations in physical sciences,2146,"Mining engineers, metallurgists and related professionals",Metallurgists and materials scientists
2121,Biologists and related scientists,2131,"Biologists, botanists, zoologists and related professionals",
2121,Biologists and related scientists,2133,Environmental protection professionals,"Ecologists, environmental biologists and environmental toxicologists"
2122,Forestry professionals,2132,"Farming, forestry and fisheries advisers",Forestry professionals
2123,"Agricultural representatives, consultants and specialists",2132,"Farming, forestry and fisheries advisers","Agricultural representatives, consultants and specialists"
2131,Civil engineers,2142,Civil engineers,Except geological engineers
2131,Civil engineers,2143,Environmental engineers,"Environmental engineers, civil"
2132,Mechanical engineers,2144,Mechanical engineers,Except aerospace engineers and naval engineers
2132,Mechanical engineers,2149,Engineering professionals not elsewhere classified,Nuclear engineers
2133,Electrical and electronics engineers,2151,Electrical engineers,
2133,Electrical and electronics engineers,2152,Electronics engineers,Except computer engineers
2133,Electrical and electronics engineers,2153,Telecommunications engineers,Engineers - radio and television broadcasting
2134,Chemical engineers,2143,Environmental engineers,"Environmental engineers, chemical"
2134,Chemical engineers,2145,Chemical engineers,
2134,Chemical engineers,2149,Engineering professionals not elsewhere classified,Explosives engineers
2141,Industrial and manufacturing engineers,2141,Industrial and production engineers,
2141,Industrial and manufacturing engineers,2149,Engineering professionals not elsewhere classified,Industrial safety engineers
2142,Metallurgical and materials engineers,2146,"Mining engineers, metallurgists and related professionals",Metallurgical engineers
2142,Metallurgical and materials engineers,2149,Engineering professionals not elsewhere classified,Materials engineers
2143,Mining engineers,2146,"Mining engineers, metallurgists and related professionals",Mining engineers (except mine safety engineers)
2143,Mining engineers,2149,Engineering professionals not elsewhere classified,Mine safety engineers
