noc2006,noc2006_title,noc2011,noc2011_title
3213,Veterinary and Animal Health Technologists and Technicians,3213,Animal health technologists and veterinary technicians
3217,Cardiology Technologists,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
3218,"Electroencephalographic and Other Diagnostic Technologists, n.e.c.",3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
3219,Other Medical Technologists and Technicians (Except Dental Health),3219,Other medical technologists and technicians (except dental health)
3223,"Dental Technologists, Technicians and Laboratory Bench Workers",3223,"Dental technologists, technicians and laboratory assistants"
3232,Midwives and Practitioners of Natural Healing,3124,Allied primary health practitioners
3232,Midwives and Practitioners of Natural Healing,3232,Practitioners of natural healing
3234,Ambulance Attendants and Other Paramedical Occupations,3234,Paramedical occupations
3234,Ambulance Attendants and Other Paramedical Occupations,3413,"Nurse aides, orderlies and patient service associates"
3235,Other Technical Occupations in Therapy and Assessment,3236,Massage therapists
3235,Other Technical Occupations in Therapy and Assessment,3237,Other technical occupations in therapy and assessment
3413,"Nurse Aides, Orderlies and Patient Service Associates",3413,"Nurse aides, orderlies and patient service associates"
3414,Other Assisting Occupations in Support of Health Services,3219,Other medical technologists and technicians (except dental health)
3414,Other Assisting Occupations in Support of Health Services,3237,Other technical occupations in therapy and assessment
3414,Other Assisting Occupations in Support of Health Services,3414,Other assisting occupations in support of health services
4121,University Professors,4011,University professors and lecturers
4122,Post-Secondary Teaching and Research Assistants,4011,University professors and lecturers
4122,Post-Secondary Teaching and Research Assistants,4012,Post-secondary teaching and research assistants
4131,College and Other Vocational Instructors,4021,College and other vocational instructors
4141,Secondary School Teachers,4031,Secondary school teachers
