nocs2006,nocs2006_title,soc2010,soc2010_title
J191,Machining tool operators,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
J191,Machining tool operators,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
J191,Machining tool operators,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
J191,Machining tool operators,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
J191,Machining tool operators,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
J191,Machining tool operators,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
J191,Machining tool operators,51-4194,"Tool Grinders, Filers, and Sharpeners"
J191,Machining tool operators,51-9199,"Production Workers, All Other"
J192,Forging machine operators,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
J192,Forging machine operators,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
J192,Forging machine operators,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
J192,Forging machine operators,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
J192,Forging machine operators,51-9199,"Production Workers, All Other"
J193,Woodworking machine operators,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
J193,Woodworking machine operators,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
J193,Woodworking machine operators,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
J193,Woodworking machine operators,51-7099,"Woodworkers, All Other"
J193,Woodworking machine operators,51-9191,Adhesive Bonding Machine Operators and Tenders
J193,Woodworking machine operators,51-9199,"Production Workers, All Other"
J194,Metalworking machine operators,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
J194,Metalworking machine operators,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
J194,Metalworking machine operators,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
J194,Metalworking machine operators,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
J194,Metalworking machine operators,51-9199,"Production Workers, All Other"
J196,Other metal products machine operators,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
J196,Other metal products machine operators,51-4199,"Metal Workers and Plastic Workers, All Other"
J197,Other products machine operators,51-2093,Timing Device Assemblers and Adjusters
J197,Other products machine operators,51-2099,"Assemblers and Fabricators, All Other"
J197,Other products machine operators,51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
J197,Other products machine operators,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J211,Aircraft assemblers and aircraft assembly inspectors,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
J211,Aircraft assemblers and aircraft assembly inspectors,51-2092,Team Assemblers
J212,"Motor vehicle assemblers, inspectors and testers",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
J212,"Motor vehicle assemblers, inspectors and testers",51-2092,Team Assemblers
J212,"Motor vehicle assemblers, inspectors and testers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J213,"Electronics assemblers, fabricators, inspectors and testers",51-2022,Electrical and Electronic Equipment Assemblers
J213,"Electronics assemblers, fabricators, inspectors and testers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J213,"Electronics assemblers, fabricators, inspectors and testers",51-9141,Semiconductor Processors
J214,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",51-2022,Electrical and Electronic Equipment Assemblers
J214,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",51-2023,Electromechanical Equipment Assemblers
J214,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",51-2092,Team Assemblers
J214,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J215,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-2021,"Coil Winders, Tapers, and Finishers"
J215,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-2022,Electrical and Electronic Equipment Assemblers
J215,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-2023,Electromechanical Equipment Assemblers
J215,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-2031,Engine and Other Machine Assemblers
J215,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J216,Mechanical assemblers and inspectors,51-2031,Engine and Other Machine Assemblers
J216,Mechanical assemblers and inspectors,51-2092,Team Assemblers
J216,Mechanical assemblers and inspectors,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
