nocs2006,nocs2006_title,soc2010,soc2010_title
D219,Other medical technologists and technicians (except dental health),51-9082,Medical Appliance Technicians
D221,Denturists,51-9081,Dental Laboratory Technicians
D222,Dental hygienists and dental therapists,29-2021,Dental Hygienists
D223,"Dental technologists, technicians and laboratory bench workers",51-9081,Dental Laboratory Technicians
D231,Opticians,29-2081,"Opticians, Dispensing"
D232,Midwives and practitioners of natural healing,29-1071,Physician Assistants
D232,Midwives and practitioners of natural healing,29-1151,Nurse Anesthetists
D232,Midwives and practitioners of natural healing,29-1161,Nurse Midwives
D232,Midwives and practitioners of natural healing,29-1171,Nurse Practitioners
D232,Midwives and practitioners of natural healing,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
D232,Midwives and practitioners of natural healing,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
D232,Midwives and practitioners of natural healing,31-9011,Massage Therapists
D233,Licensed practical nurses,29-2055,Surgical Technologists
D233,Licensed practical nurses,29-2061,Licensed Practical and Licensed Vocational Nurses
D234,Ambulance attendants and other paramedical occupations,29-2041,Emergency Medical Technicians and Paramedics
D234,Ambulance attendants and other paramedical occupations,31-1013,Psychiatric Aides
D234,Ambulance attendants and other paramedical occupations,31-1014,Nursing Assistants
D234,Ambulance attendants and other paramedical occupations,31-1015,Orderlies
D234,Ambulance attendants and other paramedical occupations,39-9021,Personal Care Aides
D234,Ambulance attendants and other paramedical occupations,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
D235,Other technical occupations in therapy and assessment,29-2057,Ophthalmic Medical Technicians
D235,Other technical occupations in therapy and assessment,29-2092,Hearing Aid Specialists
D235,Other technical occupations in therapy and assessment,31-2011,Occupational Therapy Assistants
D235,Other technical occupations in therapy and assessment,31-2021,Physical Therapist Assistants
D235,Other technical occupations in therapy and assessment,31-2022,Physical Therapist Aides
D235,Other technical occupations in therapy and assessment,31-9011,Massage Therapists
D311,Dental assistants,31-9091,Dental Assistants
D312,"Nurse aides, orderlies and patient service associates",31-1013,Psychiatric Aides
D312,"Nurse aides, orderlies and patient service associates",31-1014,Nursing Assistants
D312,"Nurse aides, orderlies and patient service associates",31-1015,Orderlies
D312,"Nurse aides, orderlies and patient service associates",39-9021,Personal Care Aides
D313,Other assisting occupations in support of health services,29-1071,Physician Assistants
D313,Other assisting occupations in support of health services,29-2051,Dietetic Technicians
D313,Other assisting occupations in support of health services,29-2052,Pharmacy Technicians
D313,Other assisting occupations in support of health services,29-2053,Psychiatric Technicians
D313,Other assisting occupations in support of health services,29-2054,Respiratory Therapy Technicians
D313,Other assisting occupations in support of health services,29-2055,Surgical Technologists
D313,Other assisting occupations in support of health services,29-2057,Ophthalmic Medical Technicians
D313,Other assisting occupations in support of health services,29-2091,Orthotists and Prosthetists
D313,Other assisting occupations in support of health services,29-2092,Hearing Aid Specialists
D313,Other assisting occupations in support of health services,29-2099,"Health Technologists and Technicians, All Other"
D313,Other assisting occupations in support of health services,29-9099,"Healthcare Practitioners and Technical Workers, All Other"
D313,Other assisting occupations in support of health services,31-2011,Occupational Therapy Assistants
D313,Other assisting occupations in support of health services,31-2012,Occupational Therapy Aides
D313,Other assisting occupations in support of health services,31-2021,Physical Therapist Assistants
D313,Other assisting occupations in support of health services,31-2022,Physical Therapist Aides
D313,Other assisting occupations in support of health services,31-9092,Medical Assistants
D313,Other assisting occupations in support of health services,31-9093,Medical Equipment Preparers
D313,Other assisting occupations in support of health services,31-9095,Pharmacy Aides
D313,Other assisting occupations in support of health services,31-9099,"Healthcare Support Workers, All Other"
D313,Other assisting occupations in support of health services,51-9082,Medical Appliance Technicians
D313,Other assisting occupations in support of health services,51-9083,Ophthalmic Laboratory Technicians
E011,Judges,23-1023,"Judges, Magistrate Judges, and Magistrates"
E012,Lawyers and Quebec notaries,23-1011,Lawyers
E021,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists"
E021,Psychologists,19-3032,Industrial-Organizational Psychologists
E021,Psychologists,19-3039,"Psychologists, All Other"
E022,Social workers,21-1021,"Child, Family, and School Social Workers"
E022,Social workers,21-1022,Healthcare Social Workers
E022,Social workers,21-1023,Mental Health and Substance Abuse Social Workers
E022,Social workers,21-1029,"Social Workers, All Other"
E023,"Family, marriage and other related counsellors",21-1011,Substance Abuse and Behavioral Disorder Counselors
E023,"Family, marriage and other related counsellors",21-1013,Marriage and Family Therapists
E023,"Family, marriage and other related counsellors",21-1014,Mental Health Counselors
E023,"Family, marriage and other related counsellors",21-1015,Rehabilitation Counselors
E023,"Family, marriage and other related counsellors",21-1019,"Counselors, All Other"
E023,"Family, marriage and other related counsellors",29-9092,Genetic Counselors
E024,Ministers of religion,21-2011,Clergy
E025,Probation and parole officers and related occupations,21-1092,Probation Officers and Correctional Treatment Specialists
E031,"Natural and applied science policy researchers, consultants and program officers",13-1041,Compliance Officers
E031,"Natural and applied science policy researchers, consultants and program officers",13-1199,"Business Operations Specialists, All Other"
E031,"Natural and applied science policy researchers, consultants and program officers",19-2041,"Environmental Scientists and Specialists, Including Health"
E031,"Natural and applied science policy researchers, consultants and program officers",29-9011,Occupational Health and Safety Specialists
E032,Economists and economic policy researchers and analysts,19-3011,Economists
E033,Business development officers and marketing researchers and consultants,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
E033,Business development officers and marketing researchers and consultants,13-1131,Fundraisers
E033,Business development officers and marketing researchers and consultants,13-1161,Market Research Analysts and Marketing Specialists
E033,Business development officers and marketing researchers and consultants,27-3031,Public Relations Specialists
E033,Business development officers and marketing researchers and consultants,41-3011,Advertising Sales Agents
E034,"Social policy researchers, consultants and program officers",19-3022,Survey Researchers
E034,"Social policy researchers, consultants and program officers",19-3099,"Social Scientists and Related Workers, All Other"
E034,"Social policy researchers, consultants and program officers",19-4061,Social Science Research Assistants
E034,"Social policy researchers, consultants and program officers",25-9021,Farm and Home Management Advisors
E034,"Social policy researchers, consultants and program officers",43-9111,Statistical Assistants
E035,"Education policy researchers, consultants and program officers",25-9031,Instructional Coordinators
E036,"Recreation, sports and fitness program supervisors and consultants",11-9199,"Managers, All Other"
E036,"Recreation, sports and fitness program supervisors and consultants",19-3099,"Social Scientists and Related Workers, All Other"
E036,"Recreation, sports and fitness program supervisors and consultants",29-1125,Recreational Therapists
E036,"Recreation, sports and fitness program supervisors and consultants",29-1128,Exercise Physiologists
E036,"Recreation, sports and fitness program supervisors and consultants",29-1129,"Therapists, All Other"
E036,"Recreation, sports and fitness program supervisors and consultants",29-9091,Athletic Trainers
E036,"Recreation, sports and fitness program supervisors and consultants",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
E036,"Recreation, sports and fitness program supervisors and consultants",39-9031,Fitness Trainers and Aerobics Instructors
E036,"Recreation, sports and fitness program supervisors and consultants",39-9032,Recreation Workers
E037,Program officers unique to government,19-3094,Political Scientists
E037,Program officers unique to government,19-3099,"Social Scientists and Related Workers, All Other"
E038,"Other professional occupations in social science, n.e.c.",19-3041,Sociologists
E038,"Other professional occupations in social science, n.e.c.",19-3091,Anthropologists and Archeologists
E038,"Other professional occupations in social science, n.e.c.",19-3092,Geographers
E038,"Other professional occupations in social science, n.e.c.",19-3093,Historians
E038,"Other professional occupations in social science, n.e.c.",19-3094,Political Scientists
E038,"Other professional occupations in social science, n.e.c.",19-3099,"Social Scientists and Related Workers, All Other"
E039,"Health policy researchers, consultants and program officers",13-1041,Compliance Officers
E039,"Health policy researchers, consultants and program officers",21-1091,Health Educators
E039,"Health policy researchers, consultants and program officers",21-1094,Community Health Workers
E111,University professors,25-1011,"Business Teachers, Postsecondary"
E111,University professors,25-1021,"Computer Science Teachers, Postsecondary"
E111,University professors,25-1022,"Mathematical Science Teachers, Postsecondary"
E111,University professors,25-1031,"Architecture Teachers, Postsecondary"
E111,University professors,25-1032,"Engineering Teachers, Postsecondary"
E111,University professors,25-1041,"Agricultural Sciences Teachers, Postsecondary"
E111,University professors,25-1042,"Biological Science Teachers, Postsecondary"
E111,University professors,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
E111,University professors,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
E111,University professors,25-1052,"Chemistry Teachers, Postsecondary"
E111,University professors,25-1053,"Environmental Science Teachers, Postsecondary"
E111,University professors,25-1054,"Physics Teachers, Postsecondary"
E111,University professors,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
E111,University professors,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
E111,University professors,25-1063,"Economics Teachers, Postsecondary"
E111,University professors,25-1064,"Geography Teachers, Postsecondary"
E111,University professors,25-1065,"Political Science Teachers, Postsecondary"
E111,University professors,25-1066,"Psychology Teachers, Postsecondary"
E111,University professors,25-1067,"Sociology Teachers, Postsecondary"
E111,University professors,25-1069,"Social Sciences Teachers, Postsecondary, All Other"
E111,University professors,25-1071,"Health Specialties Teachers, Postsecondary"
E111,University professors,25-1072,"Nursing Instructors and Teachers, Postsecondary"
E111,University professors,25-1081,"Education Teachers, Postsecondary"
E111,University professors,25-1082,"Library Science Teachers, Postsecondary"
E111,University professors,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
E111,University professors,25-1112,"Law Teachers, Postsecondary"
E111,University professors,25-1113,"Social Work Teachers, Postsecondary"
E111,University professors,25-1121,"Art, Drama, and Music Teachers, Postsecondary"
E111,University professors,25-1122,"Communications Teachers, Postsecondary"
E111,University professors,25-1123,"English Language and Literature Teachers, Postsecondary"
E111,University professors,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
E111,University professors,25-1125,"History Teachers, Postsecondary"
E111,University professors,25-1126,"Philosophy and Religion Teachers, Postsecondary"
E111,University professors,25-1192,"Home Economics Teachers, Postsecondary"
E111,University professors,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,19-4061,Social Science Research Assistants
E112,Post-secondary teaching and research assistants,25-1011,"Business Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1021,"Computer Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1022,"Mathematical Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1031,"Architecture Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1032,"Engineering Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1041,"Agricultural Sciences Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1042,"Biological Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1052,"Chemistry Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1053,"Environmental Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1054,"Physics Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1063,"Economics Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1064,"Geography Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1065,"Political Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1066,"Psychology Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1067,"Sociology Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1069,"Social Sciences Teachers, Postsecondary, All Other"
E112,Post-secondary teaching and research assistants,25-1071,"Health Specialties Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1072,"Nursing Instructors and Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1081,"Education Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1082,"Library Science Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1112,"Law Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1113,"Social Work Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1121,"Art, Drama, and Music Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1122,"Communications Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1123,"English Language and Literature Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1125,"History Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1126,"Philosophy and Religion Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1191,Graduate Teaching Assistants
E112,Post-secondary teaching and research assistants,25-1192,"Home Economics Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
E112,Post-secondary teaching and research assistants,25-3099,"Teachers and Instructors, All Other"
E121,College and other vocational instructors,25-1011,"Business Teachers, Postsecondary"
E121,College and other vocational instructors,25-1021,"Computer Science Teachers, Postsecondary"
E121,College and other vocational instructors,25-1022,"Mathematical Science Teachers, Postsecondary"
E121,College and other vocational instructors,25-1031,"Architecture Teachers, Postsecondary"
E121,College and other vocational instructors,25-1032,"Engineering Teachers, Postsecondary"
E121,College and other vocational instructors,25-1041,"Agricultural Sciences Teachers, Postsecondary"
E121,College and other vocational instructors,25-1042,"Biological Science Teachers, Postsecondary"
E121,College and other vocational instructors,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
E121,College and other vocational instructors,25-1052,"Chemistry Teachers, Postsecondary"
E121,College and other vocational instructors,25-1053,"Environmental Science Teachers, Postsecondary"
E121,College and other vocational instructors,25-1054,"Physics Teachers, Postsecondary"
E121,College and other vocational instructors,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
E121,College and other vocational instructors,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
E121,College and other vocational instructors,25-1063,"Economics Teachers, Postsecondary"
E121,College and other vocational instructors,25-1064,"Geography Teachers, Postsecondary"
E121,College and other vocational instructors,25-1065,"Political Science Teachers, Postsecondary"
E121,College and other vocational instructors,25-1066,"Psychology Teachers, Postsecondary"
E121,College and other vocational instructors,25-1067,"Sociology Teachers, Postsecondary"
E121,College and other vocational instructors,25-1069,"Social Sciences Teachers, Postsecondary, All Other"
E121,College and other vocational instructors,25-1071,"Health Specialties Teachers, Postsecondary"
E121,College and other vocational instructors,25-1072,"Nursing Instructors and Teachers, Postsecondary"
E121,College and other vocational instructors,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
E121,College and other vocational instructors,25-1112,"Law Teachers, Postsecondary"
E121,College and other vocational instructors,25-1113,"Social Work Teachers, Postsecondary"
E121,College and other vocational instructors,25-1121,"Art, Drama, and Music Teachers, Postsecondary"
E121,College and other vocational instructors,25-1122,"Communications Teachers, Postsecondary"
E121,College and other vocational instructors,25-1123,"English Language and Literature Teachers, Postsecondary"
E121,College and other vocational instructors,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
E121,College and other vocational instructors,25-1125,"History Teachers, Postsecondary"
E121,College and other vocational instructors,25-1126,"Philosophy and Religion Teachers, Postsecondary"
E121,College and other vocational instructors,25-1192,"Home Economics Teachers, Postsecondary"
E121,College and other vocational instructors,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
E121,College and other vocational instructors,25-1194,"Vocational Education Teachers, Postsecondary"
E121,College and other vocational instructors,25-1199,"Postsecondary Teachers, All Other"
E121,College and other vocational instructors,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors
E131,Secondary school teachers,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
E131,Secondary school teachers,25-2032,"Career/Technical Education Teachers, Secondary School"
E131,Secondary school teachers,25-2054,"Special Education Teachers, Secondary School"
E131,Secondary school teachers,25-3099,"Teachers and Instructors, All Other"
E131,Secondary school teachers,25-4031,Library Technicians
E132,Elementary school and kindergarten teachers,25-2012,"Kindergarten Teachers, Except Special Education"
E132,Elementary school and kindergarten teachers,25-2021,"Elementary School Teachers, Except Special Education"
E132,Elementary school and kindergarten teachers,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
E132,Elementary school and kindergarten teachers,25-2023,"Career/Technical Education Teachers, Middle School"
E132,Elementary school and kindergarten teachers,25-2052,"Special Education Teachers, Kindergarten and Elementary School"
E132,Elementary school and kindergarten teachers,25-2053,"Special Education Teachers, Middle School"
E132,Elementary school and kindergarten teachers,25-3099,"Teachers and Instructors, All Other"
E132,Elementary school and kindergarten teachers,25-4031,Library Technicians
E133,Educational counsellors,21-1012,"Educational, Guidance, School, and Vocational Counselors"
E211,Paralegal and related occupations,23-2011,Paralegals and Legal Assistants
E211,Paralegal and related occupations,23-2093,"Title Examiners, Abstractors, and Searchers"
E211,Paralegal and related occupations,23-2099,"Legal Support Workers, All Other"
E211,Paralegal and related occupations,43-6012,Legal Secretaries
E212,Community and social service workers,21-1093,Social and Human Service Assistants
E212,Community and social service workers,21-1099,"Community and Social Service Specialists, All Other"
E212,Community and social service workers,43-4061,"Eligibility Interviewers, Government Programs"
E213,Employment counsellors,21-1019,"Counselors, All Other"
E214,Instructors and teachers of persons with disabilities,25-2051,"Special Education Teachers, Preschool"
E214,Instructors and teachers of persons with disabilities,25-2059,"Special Education Teachers, All Other"
E215,Other instructors,13-1041,Compliance Officers
E215,Other instructors,25-3021,Self-Enrichment Education Teachers
E215,Other instructors,25-3099,"Teachers and Instructors, All Other"
E215,Other instructors,25-9099,"Education, Training, and Library Workers, All Other"
E216,Other religious occupations,21-2011,Clergy
E216,Other religious occupations,21-2021,"Directors, Religious Activities and Education"
E216,Other religious occupations,21-2099,"Religious Workers, All Other"
E217,Early childhood educators and assistants,25-2011,"Preschool Teachers, Except Special Education"
E217,Early childhood educators and assistants,25-9041,Teacher Assistants
E217,Early childhood educators and assistants,39-1021,First-Line Supervisors of Personal Service Workers
E217,Early childhood educators and assistants,39-9011,Childcare Workers
F011,Librarians,25-4021,Librarians
F011,Librarians,25-9011,Audio-Visual and Multimedia Collections Specialists
F012,Conservators and curators,25-4012,Curators
F012,Conservators and curators,25-4013,Museum Technicians and Conservators
F013,Archivists,25-4011,Archivists
F021,Authors and writers,27-3031,Public Relations Specialists
F021,Authors and writers,27-3042,Technical Writers
F021,Authors and writers,27-3043,Writers and Authors
F022,Editors,27-3041,Editors
F023,Journalists,27-3021,Broadcast News Analysts
F023,Journalists,27-3022,Reporters and Correspondents
F024,Professional occupations in public relations and communications,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
F024,Professional occupations in public relations and communications,13-1131,Fundraisers
F024,Professional occupations in public relations and communications,13-1161,Market Research Analysts and Marketing Specialists
F024,Professional occupations in public relations and communications,27-3031,Public Relations Specialists
F024,Professional occupations in public relations and communications,41-3011,Advertising Sales Agents
F025,"Translators, terminologists and interpreters",27-3091,Interpreters and Translators
F031,"Producers, directors, choreographers and related occupations",11-9199,"Managers, All Other"
F031,"Producers, directors, choreographers and related occupations",13-1199,"Business Operations Specialists, All Other"
F031,"Producers, directors, choreographers and related occupations",15-1199,"Computer Occupations, All Other"
F031,"Producers, directors, choreographers and related occupations",27-2012,Producers and Directors
F031,"Producers, directors, choreographers and related occupations",27-2032,Choreographers
F031,"Producers, directors, choreographers and related occupations",27-4032,Film and Video Editors
F032,"Conductors, composers and arrangers",27-2041,Music Directors and Composers
F033,Musicians and singers,27-2042,Musicians and Singers
F034,Dancers,27-2031,Dancers
F035,Actors and comedians,27-2011,Actors
F035,Actors and comedians,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
F036,"Painters, sculptors and other visual artists",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
F111,Library and archive technicians and assistants,25-4031,Library Technicians
F111,Library and archive technicians and assistants,43-4121,"Library Assistants, Clerical"
F112,Technical occupations related to museums and art galleries,25-4013,Museum Technicians and Conservators
F112,Technical occupations related to museums and art galleries,39-7011,Tour Guides and Escorts
F121,Photographers,27-4021,Photographers
F122,Film and video camera operators,27-4031,"Camera Operators, Television, Video, and Motion Picture"
F123,Graphic arts technicians,27-1014,Multimedia Artists and Animators
F123,Graphic arts technicians,27-1024,Graphic Designers
F123,Graphic arts technicians,51-9123,"Painting, Coating, and Decorating Workers"
F124,Broadcast technicians,27-4012,Broadcast Technicians
F125,Audio and video recording technicians,27-4011,Audio and Video Equipment Technicians
F125,Audio and video recording technicians,27-4014,Sound Engineering Technicians
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",27-1027,Set and Exhibit Designers
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",27-2012,Producers and Directors
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",27-4099,"Media and Communication Equipment Workers, All Other"
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",39-3092,Costume Attendants
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",39-5091,"Makeup Artists, Theatrical and Performance"
F126,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",47-2111,Electricians
F127,"Support occupations in motion pictures, broadcasting and the performing arts",39-3021,Motion Picture Projectionists
F127,"Support occupations in motion pictures, broadcasting and the performing arts",39-3092,Costume Attendants
F127,"Support occupations in motion pictures, broadcasting and the performing arts",39-3099,"Entertainment Attendants and Related Workers, All Other"
F127,"Support occupations in motion pictures, broadcasting and the performing arts",49-9096,Riggers
F131,Announcers and other broadcasters,27-3011,Radio and Television Announcers
F131,Announcers and other broadcasters,27-3012,Public Address System and Other Announcers
F131,Announcers and other broadcasters,27-3021,Broadcast News Analysts
F131,Announcers and other broadcasters,27-3022,Reporters and Correspondents
F131,Announcers and other broadcasters,27-3099,"Media and Communication Workers, All Other"
F132,Other performers,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
F132,Other performers,41-9012,Models
F141,Graphic designers and illustrators,27-1011,Art Directors
F141,Graphic designers and illustrators,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
F141,Graphic designers and illustrators,27-1014,Multimedia Artists and Animators
F141,Graphic designers and illustrators,27-1019,"Artists and Related Workers, All Other"
F141,Graphic designers and illustrators,27-1024,Graphic Designers
F142,Interior designers,11-9199,"Managers, All Other"
F142,Interior designers,13-1199,"Business Operations Specialists, All Other"
F142,Interior designers,15-1199,"Computer Occupations, All Other"
F142,Interior designers,27-1025,Interior Designers
F143,"Theatre, fashion, exhibit and other creative designers",27-1021,Commercial and Industrial Designers
F143,"Theatre, fashion, exhibit and other creative designers",27-1022,Fashion Designers
F143,"Theatre, fashion, exhibit and other creative designers",27-1026,Merchandise Displayers and Window Trimmers
F143,"Theatre, fashion, exhibit and other creative designers",27-1027,Set and Exhibit Designers
F143,"Theatre, fashion, exhibit and other creative designers",27-1029,"Designers, All Other"
F144,Artisans and craftspersons,27-1012,Craft Artists
F144,Artisans and craftspersons,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
F144,Artisans and craftspersons,27-1023,Floral Designers
F144,Artisans and craftspersons,51-6051,"Sewers, Hand"
F145,"Patternmakers - textile, leather and fur products",51-6092,Fabric and Apparel Patternmakers
F151,Athletes,27-2021,Athletes and Sports Competitors
F151,Athletes,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
F152,Coaches,27-2022,Coaches and Scouts
F153,Sports officials and referees,27-2023,"Umpires, Referees, and Other Sports Officials"
F154,"Program leaders and instructors in recreation, sport and fitness",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
F154,"Program leaders and instructors in recreation, sport and fitness",39-9031,Fitness Trainers and Aerobics Instructors
F154,"Program leaders and instructors in recreation, sport and fitness",39-9032,Recreation Workers
G011,Retail trade supervisors,11-1021,General and Operations Managers
G011,Retail trade supervisors,11-2022,Sales Managers
G011,Retail trade supervisors,41-1011,First-Line Supervisors of Retail Sales Workers
G011,Retail trade supervisors,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
G012,Food service supervisors,35-1012,First-Line Supervisors of Food Preparation and Serving Workers
G013,Executive housekeepers,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
G014,Dry cleaning and laundry supervisors,33-1099,"First-Line Supervisors of Protective Service Workers, All Other"
G014,Dry cleaning and laundry supervisors,39-1021,First-Line Supervisors of Personal Service Workers
G015,Cleaning supervisors,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
G016,Other service supervisors,33-1099,"First-Line Supervisors of Protective Service Workers, All Other"
G016,Other service supervisors,39-1011,Gaming Supervisors
G016,Other service supervisors,39-1012,Slot Supervisors
G016,Other service supervisors,39-1021,First-Line Supervisors of Personal Service Workers
G111,Sales representatives - wholesale trade (non-technical),41-3011,Advertising Sales Agents
G111,Sales representatives - wholesale trade (non-technical),41-3099,"Sales Representatives, Services, All Other"
G111,Sales representatives - wholesale trade (non-technical),41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
G111,Sales representatives - wholesale trade (non-technical),41-9099,"Sales and Related Workers, All Other"
G121,Technical sales specialists - wholesale trade,41-1012,First-Line Supervisors of Non-Retail Sales Workers
G121,Technical sales specialists - wholesale trade,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
G121,Technical sales specialists - wholesale trade,41-9031,Sales Engineers
G131,Insurance agents and brokers,41-1012,First-Line Supervisors of Non-Retail Sales Workers
G131,Insurance agents and brokers,41-3021,Insurance Sales Agents
G132,Real estate agents and salespersons,41-1012,First-Line Supervisors of Non-Retail Sales Workers
G132,Real estate agents and salespersons,41-9022,Real Estate Sales Agents
G133,Retail and wholesale buyers,13-1021,"Buyers and Purchasing Agents, Farm Products"
G133,Retail and wholesale buyers,13-1022,"Wholesale and Retail Buyers, Except Farm Products"
G134,Grain elevator operators,41-1012,First-Line Supervisors of Non-Retail Sales Workers
G134,Grain elevator operators,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
G134,Grain elevator operators,41-9031,Sales Engineers
G211,Retail salespersons and sales clerks,11-9199,"Managers, All Other"
G211,Retail salespersons and sales clerks,13-1199,"Business Operations Specialists, All Other"
G211,Retail salespersons and sales clerks,15-1199,"Computer Occupations, All Other"
G211,Retail salespersons and sales clerks,27-1025,Interior Designers
G211,Retail salespersons and sales clerks,31-9095,Pharmacy Aides
G211,Retail salespersons and sales clerks,41-2021,Counter and Rental Clerks
G211,Retail salespersons and sales clerks,41-2031,Retail Salespersons
G311,Cashiers,41-2011,Cashiers
G311,Cashiers,41-2012,Gaming Change Persons and Booth Cashiers
G411,Chefs,35-1011,Chefs and Head Cooks
G412,Cooks,35-2012,"Cooks, Institution and Cafeteria"
G412,Cooks,35-2013,"Cooks, Private Household"
G412,Cooks,35-2014,"Cooks, Restaurant"
G412,Cooks,35-2015,"Cooks, Short Order"
G412,Cooks,35-2019,"Cooks, All Other"
G511,Maîtres d'hôtel and hosts/hostesses,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
G512,Bartenders,35-3011,Bartenders
G513,Food and beverage servers,35-3031,Waiters and Waitresses
G513,Food and beverage servers,35-3041,"Food Servers, Nonrestaurant"
G611,Police officers (except commissioned),33-3021,Detectives and Criminal Investigators
G611,Police officers (except commissioned),33-3051,Police and Sheriff's Patrol Officers
G611,Police officers (except commissioned),33-3052,Transit and Railroad Police
G612,Firefighters,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
G612,Firefighters,33-2011,Firefighters
G612,Firefighters,33-2021,Fire Inspectors and Investigators
