soc2010_code,soc2010_title,noc2011_code,noc2011_title
49-9094,Locksmiths and Safe Repairers,7232,Tool and die makers
49-9094,Locksmiths and Safe Repairers,7384,"Other trades and related occupations, n.e.c."
49-9095,Manufactured Building and Mobile Home Installers,7302,"Contractors and supervisors, heavy equipment operator crews"
49-9095,Manufactured Building and Mobile Home Installers,7384,"Other trades and related occupations, n.e.c."
49-9095,Manufactured Building and Mobile Home Installers,7441,Residential and commercial installers and servicers
49-9095,Manufactured Building and Mobile Home Installers,7611,Construction trades helpers and labourers
49-9096,Riggers,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
49-9096,Riggers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
49-9096,Riggers,7311,Construction millwrights and industrial mechanics
49-9096,Riggers,7371,Crane operators
49-9097,Signal and Track Switch Repairers,2243,Industrial instrument technicians and mechanics
49-9097,Signal and Track Switch Repairers,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
49-9097,Signal and Track Switch Repairers,7202,"Contractors and supervisors, electrical trades and telecommunications occupations"
49-9097,Signal and Track Switch Repairers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
49-9097,Signal and Track Switch Repairers,7243,Power system electricians
49-9097,Signal and Track Switch Repairers,7301,"Contractors and supervisors, mechanic trades"
49-9097,Signal and Track Switch Repairers,7318,Elevator constructors and mechanics
49-9097,Signal and Track Switch Repairers,7332,Appliance servicers and repairers
49-9097,Signal and Track Switch Repairers,7333,Electrical mechanics
49-9097,Signal and Track Switch Repairers,7441,Residential and commercial installers and servicers
49-9097,Signal and Track Switch Repairers,7445,Other repairers and servicers
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",6733,"Janitors, caretakers and building superintendents"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",6733,"Janitors, caretakers and building superintendents"
51-1011,First-Line Supervisors of Production and Operating Workers,9211,"Supervisors, mineral and metal processing"
51-1011,First-Line Supervisors of Production and Operating Workers,9212,"Supervisors, petroleum, gas and chemical processing and utilities"
51-1011,First-Line Supervisors of Production and Operating Workers,9213,"Supervisors, food, beverage and associated products processing"
51-1011,First-Line Supervisors of Production and Operating Workers,9214,"Supervisors, plastic and rubber products manufacturing"
51-1011,First-Line Supervisors of Production and Operating Workers,9215,"Supervisors, forest products processing"
51-1011,First-Line Supervisors of Production and Operating Workers,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing"
51-1011,First-Line Supervisors of Production and Operating Workers,9221,"Supervisors, motor vehicle assembling"
51-1011,First-Line Supervisors of Production and Operating Workers,9222,"Supervisors, electronics manufacturing"
51-1011,First-Line Supervisors of Production and Operating Workers,9223,"Supervisors, electrical products manufacturing"
51-1011,First-Line Supervisors of Production and Operating Workers,9224,"Supervisors, furniture and fixtures manufacturing"
51-1011,First-Line Supervisors of Production and Operating Workers,9226,"Supervisors, other mechanical and metal products manufacturing"
51-1011,First-Line Supervisors of Production and Operating Workers,9227,"Supervisors, other products manufacturing and assembly"
51-1011,First-Line Supervisors of Production and Operating Workers,9241,Power engineers and power systems operators
51-1011,First-Line Supervisors of Production and Operating Workers,9243,Water and waste treatment plant operators
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",9521,Aircraft assemblers and aircraft assembly inspectors
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",9522,"Motor vehicle assemblers, inspectors and testers"
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",9526,Mechanical assemblers and inspectors
51-2021,"Coil Winders, Tapers, and Finishers",9523,"Electronics assemblers, fabricators, inspectors and testers"
51-2021,"Coil Winders, Tapers, and Finishers",9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
51-2021,"Coil Winders, Tapers, and Finishers",9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
51-2021,"Coil Winders, Tapers, and Finishers",9527,"Machine operators and inspectors, electrical apparatus manufacturing"
51-2022,Electrical and Electronic Equipment Assemblers,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-2022,Electrical and Electronic Equipment Assemblers,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
51-2022,Electrical and Electronic Equipment Assemblers,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
51-2022,Electrical and Electronic Equipment Assemblers,9527,"Machine operators and inspectors, electrical apparatus manufacturing"
51-2023,Electromechanical Equipment Assemblers,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-2023,Electromechanical Equipment Assemblers,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
51-2023,Electromechanical Equipment Assemblers,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
51-2023,Electromechanical Equipment Assemblers,9527,"Machine operators and inspectors, electrical apparatus manufacturing"
51-2031,Engine and Other Machine Assemblers,9521,Aircraft assemblers and aircraft assembly inspectors
51-2031,Engine and Other Machine Assemblers,9522,"Motor vehicle assemblers, inspectors and testers"
51-2031,Engine and Other Machine Assemblers,9526,Mechanical assemblers and inspectors
51-2041,Structural Metal Fabricators and Fitters,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-2041,Structural Metal Fabricators and Fitters,7235,Structural metal and platework fabricators and fitters
51-2041,Structural Metal Fabricators and Fitters,7236,Ironworkers
51-2091,Fiberglass Laminators and Fabricators,9422,Plastics processing machine operators
51-2092,Team Assemblers,7441,Residential and commercial installers and servicers
51-2092,Team Assemblers,9531,Boat assemblers and inspectors
51-2092,Team Assemblers,9532,Furniture and fixture assemblers and inspectors
51-2092,Team Assemblers,9533,Other wood products assemblers and inspectors
51-2092,Team Assemblers,9535,"Plastic products assemblers, finishers and inspectors"
51-2092,Team Assemblers,9537,"Other products assemblers, finishers and inspectors"
51-2093,Timing Device Assemblers and Adjusters,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-2093,Timing Device Assemblers and Adjusters,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
51-2093,Timing Device Assemblers and Adjusters,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
51-2093,Timing Device Assemblers and Adjusters,9527,"Machine operators and inspectors, electrical apparatus manufacturing"
51-2099,"Assemblers and Fabricators, All Other",7441,Residential and commercial installers and servicers
51-2099,"Assemblers and Fabricators, All Other",9531,Boat assemblers and inspectors
51-2099,"Assemblers and Fabricators, All Other",9532,Furniture and fixture assemblers and inspectors
51-2099,"Assemblers and Fabricators, All Other",9533,Other wood products assemblers and inspectors
51-2099,"Assemblers and Fabricators, All Other",9535,"Plastic products assemblers, finishers and inspectors"
51-2099,"Assemblers and Fabricators, All Other",9537,"Other products assemblers, finishers and inspectors"
51-3011,Bakers,6322,Cooks
51-3011,Bakers,6332,Bakers
51-3021,Butchers and Meat Cutters,6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
51-3021,Butchers and Meat Cutters,9461,"Process control and machine operators, food, beverage and associated products processing"
51-3021,Butchers and Meat Cutters,9462,"Industrial butchers and meat cutters, poultry preparers and related workers"
51-3021,Butchers and Meat Cutters,9463,Fish and seafood plant workers
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",9461,"Process control and machine operators, food, beverage and associated products processing"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",9462,"Industrial butchers and meat cutters, poultry preparers and related workers"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",9463,Fish and seafood plant workers
51-3023,Slaughterers and Meat Packers,6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
51-3023,Slaughterers and Meat Packers,9461,"Process control and machine operators, food, beverage and associated products processing"
51-3023,Slaughterers and Meat Packers,9462,"Industrial butchers and meat cutters, poultry preparers and related workers"
51-3023,Slaughterers and Meat Packers,9463,Fish and seafood plant workers
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",9461,"Process control and machine operators, food, beverage and associated products processing"
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",9462,"Industrial butchers and meat cutters, poultry preparers and related workers"
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",9463,Fish and seafood plant workers
51-3092,Food Batchmakers,9461,"Process control and machine operators, food, beverage and associated products processing"
51-3092,Food Batchmakers,9463,Fish and seafood plant workers
51-3093,Food Cooking Machine Operators and Tenders,9461,"Process control and machine operators, food, beverage and associated products processing"
51-3093,Food Cooking Machine Operators and Tenders,9463,Fish and seafood plant workers
51-3099,"Food Processing Workers, All Other",9461,"Process control and machine operators, food, beverage and associated products processing"
51-3099,"Food Processing Workers, All Other",9463,Fish and seafood plant workers
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",9416,Metalworking and forging machine operators
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",9417,Machining tool operators
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",9418,Other metal products machine operators
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",2243,Industrial instrument technicians and mechanics
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",7232,Tool and die makers
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",7384,"Other trades and related occupations, n.e.c."
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",9231,"Central control and process operators, mineral and metal processing"
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",9235,"Pulping, papermaking and coating control operators"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",9411,"Machine operators, mineral and metal processing"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",7384,"Other trades and related occupations, n.e.c."
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9411,"Machine operators, mineral and metal processing"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4041,Machinists,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4041,Machinists,7231,Machinists and machining and tooling inspectors
51-4041,Machinists,9416,Metalworking and forging machine operators
51-4041,Machinists,9417,Machining tool operators
51-4041,Machinists,9418,Other metal products machine operators
51-4051,Metal-Refining Furnace Operators and Tenders,9231,"Central control and process operators, mineral and metal processing"
51-4051,Metal-Refining Furnace Operators and Tenders,9411,"Machine operators, mineral and metal processing"
51-4052,"Pourers and Casters, Metal",9411,"Machine operators, mineral and metal processing"
51-4061,"Model Makers, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4061,"Model Makers, Metal and Plastic",7232,Tool and die makers
51-4061,"Model Makers, Metal and Plastic",7384,"Other trades and related occupations, n.e.c."
51-4062,"Patternmakers, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4062,"Patternmakers, Metal and Plastic",7232,Tool and die makers
51-4062,"Patternmakers, Metal and Plastic",7384,"Other trades and related occupations, n.e.c."
51-4071,Foundry Mold and Coremakers,9412,Foundry workers
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",9412,Foundry workers
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7231,Machinists and machining and tooling inspectors
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9416,Metalworking and forging machine operators
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9417,Machining tool operators
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9418,Other metal products machine operators
51-4111,Tool and Die Makers,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4111,Tool and Die Makers,7232,Tool and die makers
51-4111,Tool and Die Makers,7384,"Other trades and related occupations, n.e.c."
51-4121,"Welders, Cutters, Solderers, and Brazers",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4121,"Welders, Cutters, Solderers, and Brazers",7237,Welders and related machine operators
51-4121,"Welders, Cutters, Solderers, and Brazers",9416,Metalworking and forging machine operators
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",7237,Welders and related machine operators
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",9416,Metalworking and forging machine operators
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",9411,"Machine operators, mineral and metal processing"
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4192,"Layout Workers, Metal and Plastic",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4192,"Layout Workers, Metal and Plastic",7232,Tool and die makers
51-4192,"Layout Workers, Metal and Plastic",7233,Sheet metal workers
51-4192,"Layout Workers, Metal and Plastic",7234,Boilermakers
51-4192,"Layout Workers, Metal and Plastic",7301,"Contractors and supervisors, mechanic trades"
51-4192,"Layout Workers, Metal and Plastic",7322,Motor vehicle body repairers
51-4192,"Layout Workers, Metal and Plastic",7384,"Other trades and related occupations, n.e.c."
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",9422,Plastics processing machine operators
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",9536,"Industrial painters, coaters and metal finishing process operators"
51-4194,"Tool Grinders, Filers, and Sharpeners",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4194,"Tool Grinders, Filers, and Sharpeners",7311,Construction millwrights and industrial mechanics
51-4194,"Tool Grinders, Filers, and Sharpeners",7384,"Other trades and related occupations, n.e.c."
51-4194,"Tool Grinders, Filers, and Sharpeners",9417,Machining tool operators
51-4194,"Tool Grinders, Filers, and Sharpeners",9418,Other metal products machine operators
51-4194,"Tool Grinders, Filers, and Sharpeners",9612,Labourers in metal fabrication
51-4199,"Metal Workers and Plastic Workers, All Other",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-4199,"Metal Workers and Plastic Workers, All Other",7231,Machinists and machining and tooling inspectors
51-4199,"Metal Workers and Plastic Workers, All Other",7384,"Other trades and related occupations, n.e.c."
51-4199,"Metal Workers and Plastic Workers, All Other",9416,Metalworking and forging machine operators
51-4199,"Metal Workers and Plastic Workers, All Other",9417,Machining tool operators
51-4199,"Metal Workers and Plastic Workers, All Other",9418,Other metal products machine operators
51-4199,"Metal Workers and Plastic Workers, All Other",9422,Plastics processing machine operators
51-5111,Prepress Technicians and Workers,1211,"Supervisors, general office and administrative support workers"
51-5111,Prepress Technicians and Workers,1423,Desktop publishing operators and related occupations
51-5111,Prepress Technicians and Workers,7303,"Supervisors, printing and related occupations"
51-5111,Prepress Technicians and Workers,9472,"Camera, platemaking and other prepress occupations"
51-5112,Printing Press Operators,7303,"Supervisors, printing and related occupations"
51-5112,Printing Press Operators,7381,Printing press operators
51-5112,Printing Press Operators,9471,Plateless printing equipment operators
51-5113,Print Binding and Finishing Workers,7303,"Supervisors, printing and related occupations"
51-5113,Print Binding and Finishing Workers,9473,Binding and finishing machine operators
51-6011,Laundry and Dry-Cleaning Workers,6316,Other services supervisors
51-6011,Laundry and Dry-Cleaning Workers,6741,"Dry cleaning, laundry and related occupations"
51-6021,"Pressers, Textile, Garment, and Related Materials",6741,"Dry cleaning, laundry and related occupations"
51-6031,Sewing Machine Operators,9446,Industrial sewing machine operators
51-6041,Shoe and Leather Workers and Repairers,5244,Artisans and craftspersons
51-6041,Shoe and Leather Workers and Repairers,6343,Shoe repairers and shoemakers
51-6041,Shoe and Leather Workers and Repairers,9446,Industrial sewing machine operators
51-6041,Shoe and Leather Workers and Repairers,9537,"Other products assemblers, finishers and inspectors"
51-6042,Shoe Machine Operators and Tenders,9445,"Fabric, fur and leather cutters"
51-6042,Shoe Machine Operators and Tenders,9446,Industrial sewing machine operators
51-6042,Shoe Machine Operators and Tenders,9537,"Other products assemblers, finishers and inspectors"
51-6051,"Sewers, Hand",5244,Artisans and craftspersons
51-6051,"Sewers, Hand",9446,Industrial sewing machine operators
51-6051,"Sewers, Hand",9537,"Other products assemblers, finishers and inspectors"
51-6052,"Tailors, Dressmakers, and Custom Sewers",6342,"Tailors, dressmakers, furriers and milliners"
51-6052,"Tailors, Dressmakers, and Custom Sewers",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",5245,"Patternmakers - textile, leather and fur products"
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",9445,"Fabric, fur and leather cutters"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",9442,"Weavers, knitters and other fabric making occupations"
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",9413,Glass forming and finishing machine operators and glass cutters
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",9414,"Concrete, clay and stone forming operators"
51-6092,Fabric and Apparel Patternmakers,5245,"Patternmakers - textile, leather and fur products"
51-6092,Fabric and Apparel Patternmakers,9445,"Fabric, fur and leather cutters"
51-6093,Upholsterers,6345,Upholsterers
51-6093,Upholsterers,9532,Furniture and fixture assemblers and inspectors
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",9442,"Weavers, knitters and other fabric making occupations"
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",9537,"Other products assemblers, finishers and inspectors"
51-7011,Cabinetmakers and Bench Carpenters,7204,"Contractors and supervisors, carpentry trades"
51-7011,Cabinetmakers and Bench Carpenters,7272,Cabinetmakers
51-7021,Furniture Finishers,7204,"Contractors and supervisors, carpentry trades"
51-7021,Furniture Finishers,7272,Cabinetmakers
51-7031,"Model Makers, Wood",7204,"Contractors and supervisors, carpentry trades"
51-7031,"Model Makers, Wood",7272,Cabinetmakers
51-7032,"Patternmakers, Wood",7204,"Contractors and supervisors, carpentry trades"
51-7032,"Patternmakers, Wood",7272,Cabinetmakers
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",9431,Sawmill machine operators
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",9434,Other wood processing machine operators
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",9437,Woodworking machine operators
51-7099,"Woodworkers, All Other",5244,Artisans and craftspersons
51-8011,Nuclear Power Reactor Operators,9241,Power engineers and power systems operators
51-8012,Power Distributors and Dispatchers,9241,Power engineers and power systems operators
51-8013,Power Plant Operators,9241,Power engineers and power systems operators
51-8021,Stationary Engineers and Boiler Operators,7532,Water transport deck and engine room crew
51-8021,Stationary Engineers and Boiler Operators,9241,Power engineers and power systems operators
51-8031,Water and Wastewater Treatment Plant and System Operators,9243,Water and waste treatment plant operators
51-8091,Chemical Plant and System Operators,9232,"Petroleum, gas and chemical process operators"
51-8092,Gas Plant Operators,9232,"Petroleum, gas and chemical process operators"
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",9232,"Petroleum, gas and chemical process operators"
51-8099,"Plant and System Operators, All Other",9243,Water and waste treatment plant operators
51-8099,"Plant and System Operators, All Other",9414,"Concrete, clay and stone forming operators"
51-9011,Chemical Equipment Operators and Tenders,9421,Chemical plant machine operators
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",9421,Chemical plant machine operators
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",9461,"Process control and machine operators, food, beverage and associated products processing"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",9411,"Machine operators, mineral and metal processing"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",9413,Glass forming and finishing machine operators and glass cutters
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",9414,"Concrete, clay and stone forming operators"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",9423,Rubber processing machine operators and related workers
51-9022,"Grinding and Polishing Workers, Hand",5244,Artisans and craftspersons
51-9022,"Grinding and Polishing Workers, Hand",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-9022,"Grinding and Polishing Workers, Hand",7311,Construction millwrights and industrial mechanics
51-9022,"Grinding and Polishing Workers, Hand",7384,"Other trades and related occupations, n.e.c."
51-9022,"Grinding and Polishing Workers, Hand",9413,Glass forming and finishing machine operators and glass cutters
51-9022,"Grinding and Polishing Workers, Hand",9417,Machining tool operators
